total_quantity,total_revenue,date,hour,product
5,398.6,2013-01-01,4,backpack
11,246.19,2013-01-01,4,binder
8,210.48,2013-01-01,20,binder
10,216.9,2013-01-01,23,binder
7,136.89,2013-01-01,4,envelopes
7,120.61,2013-01-01,20,envelopes
3,3063.69,2013-01-01,4,laptop
1,486.19,2013-01-01,20,laptop
2,2767.02,2013-01-01,23,laptop
4,118.04,2013-01-01,4,notepad
7,371.29,2013-01-01,20,pens
8,172.16,2013-01-01,4,pens
3,86.4,2013-01-01,4,printer paper
6,237.36,2013-01-01,20,printer paper
1,41.1,2013-01-02,2,backpack
5,492.0,2013-01-02,9,backpack
4,503.24,2013-01-02,20,backpack
3,70.11,2013-01-02,9,binder
1,18.2,2013-01-02,14,binder
9,155.97,2013-01-02,20,binder
5,100.05,2013-01-02,23,binder
4,98.6,2013-01-02,20,envelopes
17,205.39,2013-01-02,9,envelopes
5,117.35,2013-01-02,14,envelopes
5,7805.25,2013-01-02,2,laptop
5,2184.8,2013-01-02,9,laptop
3,3752.43,2013-01-02,20,laptop
10,306.43,2013-01-02,20,notepad
1,8.2,2013-01-02,1,notepad
3,60.42,2013-01-02,2,notepad
4,97.4,2013-01-02,14,notepad
2,72.14,2013-01-02,9,notepad
3,51.78,2013-01-02,20,pens
4,290.2,2013-01-02,2,pens
1,10.34,2013-01-02,20,printer paper
7,144.83,2013-01-02,9,printer paper
1,16.05,2013-01-03,8,binder
16,440.19,2013-01-04,0,binder
6,144.42,2013-01-04,11,binder
10,150.3,2013-01-04,16,envelopes
5,36.95,2013-01-04,0,envelopes
10,195.9,2013-01-04,11,envelopes
5,3826.05,2013-01-04,0,laptop
3,1935.75,2013-01-04,11,laptop
5,340.83,2013-01-04,0,pens
5,56.15,2013-01-04,0,printer paper
4,448.96,2013-01-06,1,backpack
8,136.0,2013-01-06,21,binder
2,40.9,2013-01-06,1,binder
7,140.0,2013-01-06,21,envelopes
3,2402.85,2013-01-06,1,laptop
1,1178.03,2013-01-06,21,laptop
11,233.4,2013-01-06,21,notepad
10,373.35,2013-01-06,1,notepad
2,15.56,2013-01-06,1,pens
5,164.51,2013-01-06,21,pens
3,30.75,2013-01-06,21,printer paper
5,437.05,2013-01-07,8,backpack
6,127.92,2013-01-07,8,binder
2,46.96,2013-01-07,23,binder
6,94.26,2013-01-07,12,binder
9,175.16,2013-01-07,12,envelopes
3,64.0,2013-01-07,8,envelopes
8,104.16,2013-01-07,23,envelopes
3,4546.56,2013-01-07,12,laptop
4,3957.64,2013-01-07,8,laptop
1,23.11,2013-01-07,12,notepad
7,141.89,2013-01-07,8,notepad
4,281.92,2013-01-07,12,pens
8,278.14,2013-01-07,8,pens
9,410.04,2013-01-07,12,printer paper
4,73.48,2013-01-07,8,printer paper
3,511.02,2013-01-08,13,backpack
5,733.0,2013-01-08,11,backpack
1,98.62,2013-01-08,12,backpack
16,193.89,2013-01-08,22,binder
7,141.4,2013-01-08,13,binder
4,105.03,2013-01-08,11,binder
18,336.48,2013-01-08,12,binder
10,197.2,2013-01-08,22,envelopes
16,184.99,2013-01-08,2,envelopes
3,33.48,2013-01-08,13,envelopes
10,224.41,2013-01-08,11,envelopes
6,40.02,2013-01-08,12,envelopes
4,4581.92,2013-01-08,11,laptop
3,3432.93,2013-01-08,2,laptop
10,241.78,2013-01-08,12,notepad
1,8.06,2013-01-08,11,notepad
6,198.87,2013-01-08,13,notepad
1,18.49,2013-01-08,22,notepad
4,74.41,2013-01-08,12,pens
1,30.17,2013-01-08,13,pens
6,246.66,2013-01-08,12,printer paper
3,74.76,2013-01-08,11,printer paper
2,74.42,2013-01-08,13,printer paper
4,335.52,2013-01-09,12,backpack
2,358.94,2013-01-09,3,backpack
9,183.9,2013-01-09,12,binder
14,293.24,2013-01-09,8,binder
8,85.52,2013-01-09,12,envelopes
8,125.85,2013-01-09,3,envelopes
1,1540.8,2013-01-09,8,laptop
4,4462.04,2013-01-09,12,laptop
4,5592.76,2013-01-09,3,laptop
12,262.48,2013-01-09,12,notepad
7,233.62,2013-01-09,3,notepad
4,319.76,2013-01-09,12,pens
5,216.4,2013-01-09,8,pens
1,25.69,2013-01-09,7,pens
1,34.76,2013-01-09,3,pens
1,106.22,2013-01-10,18,backpack
3,44.46,2013-01-10,1,binder
4,51.68,2013-01-10,18,binder
8,71.81,2013-01-10,18,notepad
5,226.97,2013-01-10,1,pens
3,158.19,2013-01-11,1,backpack
4,772.88,2013-01-11,3,backpack
6,124.44,2013-01-11,3,binder
6,170.43,2013-01-11,16,binder
2,35.52,2013-01-11,1,binder
18,280.48,2013-01-11,16,envelopes
8,131.68,2013-01-11,3,envelopes
15,179.85,2013-01-11,1,envelopes
1,577.75,2013-01-11,1,laptop
5,7130.5,2013-01-11,3,laptop
4,3591.16,2013-01-11,16,laptop
5,191.9,2013-01-11,1,notepad
5,180.85,2013-01-11,16,notepad
1,16.1,2013-01-11,3,pens
5,181.2,2013-01-11,16,pens
8,213.52,2013-01-11,1,printer paper
10,275.5,2013-01-11,16,printer paper
2,46.48,2013-01-11,3,printer paper
2,369.42,2013-01-12,4,backpack
9,114.3,2013-01-12,9,binder
7,83.23,2013-01-12,15,binder
4,97.2,2013-01-12,4,envelopes
3,2758.8,2013-01-12,4,laptop
7,228.33,2013-01-12,4,notepad
1,153.92,2013-01-13,4,backpack
4,612.24,2013-01-13,17,backpack
2,209.84,2013-01-13,14,backpack
11,153.54,2013-01-13,17,binder
2,43.54,2013-01-13,15,binder
18,293.48,2013-01-13,14,binder
10,154.8,2013-01-13,4,binder
3,18.45,2013-01-13,14,envelopes
3,45.09,2013-01-13,17,envelopes
9,139.95,2013-01-13,15,envelopes
5,5740.1,2013-01-13,14,laptop
8,169.88,2013-01-13,15,notepad
8,195.44,2013-01-13,4,notepad
4,67.78,2013-01-13,17,notepad
7,100.74,2013-01-13,14,notepad
5,312.6,2013-01-13,4,pens
9,354.97,2013-01-13,17,pens
6,180.06,2013-01-13,14,pens
6,225.36,2013-01-13,4,printer paper
8,220.4,2013-01-13,17,printer paper
2,40.34,2013-01-13,15,printer paper
1,45.69,2013-01-13,14,printer paper
2,221.12,2013-01-14,23,backpack
5,73.85,2013-01-14,23,binder
9,94.94,2013-01-14,23,envelopes
9,130.8,2013-01-14,23,notepad
7,335.84,2013-01-14,23,pens
2,37.3,2013-01-14,23,printer paper
9,208.15,2013-01-15,5,binder
11,252.99,2013-01-15,5,envelopes
5,6813.8,2013-01-15,5,laptop
3,42.72,2013-01-15,5,notepad
9,111.33,2013-01-15,5,printer paper
1,13.1,2013-01-16,23,binder
5,38.05,2013-01-16,23,envelopes
4,1606.24,2013-01-16,17,laptop
3,1724.85,2013-01-16,23,laptop
3,57.58,2013-01-16,23,notepad
8,170.04,2013-01-16,23,pens
5,354.55,2013-01-17,9,backpack
2,347.94,2013-01-17,17,backpack
3,132.51,2013-01-17,16,backpack
5,53.7,2013-01-17,17,binder
8,86.08,2013-01-17,9,binder
12,82.65,2013-01-17,17,envelopes
15,234.42,2013-01-17,9,envelopes
4,1632.64,2013-01-17,9,laptop
2,21.26,2013-01-17,16,notepad
8,182.69,2013-01-17,17,notepad
6,136.03,2013-01-17,9,notepad
4,158.64,2013-01-17,17,pens
4,124.48,2013-01-17,9,pens
3,85.71,2013-01-17,17,printer paper
5,806.95,2013-01-18,10,backpack
4,316.28,2013-01-18,2,backpack
